crime_id,crime_date,crime_time,crime_type,muni,year,month,week,day,week_day,week_day_name,crime_hour,crime_lon,crime_lat,atm_dist,bank_dist,bar_dist,cafe_dist,industrial_dist,market_dist,nightclub_dist,police_dist,pub_dist,restaurant_dist,taxi_dist,grid_id,grid_lon,grid_lat,utm_x,utm_y,datetime,timestamp
v6,2010-01-01,16:35:07,Sustraccion,Valencia,2010,1,1,1,5,Thursday,16,-0.386322081,39.46759415,369.4694038,140.7031,187.6231,195.6688,215.4931,544.3333,215.2116,204.2616,132.5717,153.1663,846.2579,229,-0.384235105,39.46532225,724840.8995663974,4371929.116595829,2010-01-01 16:35:07,1262363707
v37,2010-01-07,16:22:38,Agresion,Valencia,2010,1,1,7,4,Wednesday,16,-0.330635011,39.46414948,421.7855528,158.6918,446.2903,119.0918,143.4536,429.2386,614.9571,199.7352,245.7573,9.54132,382.0004,239,-0.328576405,39.46532225,729643.359928141,4371687.251766131,2010-01-07 16:22:38,1262881358
v46,2010-01-08,16:31:38,Agresion,Valencia,2010,1,2,8,5,Thursday,16,-0.377335012,39.49656677,574.8511132,22.61,1090.9666,635.3257,1282.4124,1325.0473,1175.1261,783.7793,962.752,518.0191,670.3548,130,-0.378669235,39.49486475,725520.4456752569,4375167.632340934,2010-01-08 16:31:38,1262968298
v47,2010-01-09,16:34:24,Agresion,Valencia,2010,1,2,9,6,Friday,16,-0.392904997,39.45103836,1526.013359,398.6188,317.3439,267.0337,330.3501,1775.4585,533.1606,1213.853,73.8924,253.3489,1097.6762,267,-0.395366845,39.45350525,724327.7109181791,4370074.974797696,2010-01-09 16:34:24,1263054864
v53,2010-01-11,16:54:42,Sustraccion,Valencia,2010,1,2,11,1,Sunday,16,-0.393409997,39.45930862,1268.305032,511.7614,513.1653,262.493,410.5431,1159.3371,338.0773,570.2578,189.633,222.6442,644.4501,247,-0.395366845,39.45941375,724257.6940191276,4370991.733658136,2010-01-11 16:54:42,1263228882
v104,2010-01-22,16:20:04,Sustraccion,Valencia,2010,1,4,22,5,Thursday,16,-0.334306479,39.46733856,147.961848,497.0446,180.3741,398.586,87.5413,95.2093,701.6371,432.2571,190.7226,145.028,286.4117,238,-0.334142275,39.46532225,729316.9861148257,4372031.895368885,2010-01-22 16:20:04,1264177204
v120,2010-01-26,16:54:36,Agresion,Valencia,2010,1,4,26,2,Monday,16,-0.402925014,39.4511795,2395.784799,364.7225,883.5907,977.4562,455.8503,1431.4584,1213.3983,1198.1046,892.8992,397.8459,890.6428,266,-0.400932715,39.45350525,723464.9711685285,4370065.740870023,2010-01-26 16:54:36,1264524876
v122,2010-01-27,16:20:50,Agresion,Valencia,2010,1,4,27,3,Tuesday,16,-0.378614932,39.49471283,691.9035994,71.8457,909.8688,770.2806,1272.7999,1184.3252,1018.2612,723.4303,910.9042,318.6984,775.0158,130,-0.378669235,39.49486475,725416.3643587052,4374958.633378366,2010-01-27 16:20:50,1264609250
v171,2010-02-05,16:32:56,Agresion,Valencia,2010,2,6,36,5,Thursday,16,-0.36482501,39.46591949,554.8154104,236.9122,388.4241,155.711,49.3346,728.2518,714.4977,772.9612,99.8866,82.369,779.7449,232,-0.367537495,39.46532225,726695.8689082655,4371797.112696829,2010-02-05 16:32:56,1265387576
v188,2010-02-07,16:12:06,Sustraccion,Valencia,2010,2,6,38,7,Saturday,16,-0.349774987,39.47823334,1020.327539,504.7999,602.7773,191.4037,1227.3635,1277.9615,1904.9254,1477.1574,92.8455,196.7269,1322.4703,195,-0.350839885,39.47713925,727950.5326468069,4373201.977669472,2010-02-07 16:12:06,1265559126
v192,2010-02-08,16:28:35,Agresion,Valencia,2010,2,6,39,1,Sunday,16,-0.390874922,39.48800278,188.0258652,550.3469,81.5673,168.7366,1260.0618,1608.0792,751.0591,1234.4543,964.4898,113.6377,839.3224,148,-0.389800975,39.48895625,724383.5563982413,4374183.168917462,2010-02-08 16:28:35,1265646515
